DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
18-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.856,101.072,208.963,21.803,92.49732,%,32.893,84.967,4.229,923,"92,377","3,572",,production,OP
19-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.144,101.046,208.748,22.33,100,%,32.396,86.397,3.808,928,"85,093","3,382",,production,OP
20-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,2.16,245.559,101.021,211.83,22.456,10.67797,%,33.728,85.712,6.901,90,"10,543",202,,production,OP
21-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,0,293.906,99.342,203.912,4.437,1.13564,%,89.994,0.992,89.982,0,0,0,,production,OP
22-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,17.98,249.484,100.927,210.501,17.916,42.34681,%,38.983,77.203,10.969,613,"82,588","2,199",,production,OP
23-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,240.045,101.126,207.434,21.91,99.98962,%,32.612,85.541,3.773,991,"104,642","3,391",,production,OP
24-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.046,101.045,208.501,22.321,100,%,32.545,86.889,3.705,954,"97,663","3,416",,production,OP
25-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,11,248.651,100.971,210.931,20.22,38.57977,%,37.72,82.58,8.814,438,"68,257","1,670",,production,OP
26-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,240.124,101.105,207.078,22.377,97.74083,%,33.046,87.976,4.05,885,"142,455","3,429",,production,OP
27-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,240.508,101.065,207.549,22.672,100,%,32.959,88.131,3.915,919,"148,242","3,468",,production,OP
28-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,14.83,244.183,101.018,209.17,21.967,58.93317,%,35.013,85.458,6.121,594,"95,880","2,323",,production,OP
29-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,243.021,101.053,208.536,21.921,86.06624,%,34.485,87.164,5.666,909,"147,355","3,574",,production,OP
30-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,240.42,101.098,207.38,22.863,97.91667,%,33.04,88.249,4.217,971,"155,501","3,543",,production,OP
